クリス・アーノルド,アーノルド,クリス
武智文雄（田中文雄）,タケチ フミオ,タナカ フミオ,タケチ,タナカ,フミオ
竹中惇,タケナカ アツシ,タケナカ,アツシ
岳野竜也,タケノ タツヤ,タケノ,タツヤ
竹野吉郎（竹野充昿）,タケノ ヨシロウ,タケノ ミツヒロ,タケノ,ヨシロウ,ミツヒロ
竹之内徹,タケノウチ トオル,タケノウチ,トオル
竹之内雅史,タケノウチ マサシ,タケノウチ,マサシ
竹林実,タケバヤシ ミノル,タケバヤシ,ミノル
竹原直隆,タケハラ ナオタカ,タケハラ,ナオタカ
武宮敏明,タケミヤ トシアキ,タケミヤ,トシアキ
竹村一義,タケムラ カズヨシ,タケムラ,カズヨシ
竹村元雄,タケムラ モトオ,タケムラ,モトオ
竹本修,タケモト オサム,タケモト,オサム
竹元勝雄,タケモト カツオ,タケモト,カツオ
竹本卓,タケモト スグル,タケモト,スグル
竹本由紀夫,タケモト ユキオ,タケモト,ユキオ
竹屋三郎,タケヤ サブロウ,タケヤ,サブロウ
竹安大知,タケヤス ダイチ,タケヤス,ダイチ
武山真吾,タケヤマ シンゴ,タケヤマ,シンゴ
田子譲治,タゴ ジョウジ,タゴ,ジョウジ
田坂正明,タサカ マサアキ,タサカ,マサアキ
田﨑昌弘,タザキ マサヒロ,タザキ,マサヒロ
田沢由哉,タザワ ユウヤ,タザワ,ユウヤ
田沢芳夫,タザワ ヨシオ,タザワ,ヨシオ
田島克彦,タジマ カツヒコ,タジマ,カツヒコ
田島洸成,タジマ コウセイ,タジマ,コウセイ
田島定,タジマ サダム,タジマ,サダム
田島慎二,タジマ シンジ,タジマ,シンジ
田島俊男（田島敏雄トニー田島トニー）,タジマ トシオ,トニータジマ トニー,タジマ,トシオ
田嶋大樹,タジマ ダイキ,タジマ,ダイキ
田尻茂俊,タジリ シゲトシ,タジリ,シゲトシ
田代将太郎,タシロ ショウタロウ,タシロ,ショウタロウ
田代須恵雄,タシロ スエオ,タシロ,スエオ
田代照勝,タシロ テルカツ,タシロ,テルカツ
田代富雄,タシロ トミオ,タシロ,トミオ
田代広之,タシロ ヒロユキ,タシロ,ヒロユキ
田城飛翔,タシロ ツバサ,タシロ,ツバサ
多田大輔,タダ ダイスケ,タダ,ダイスケ
多田勉,タダ ツトム,タダ,ツトム
多田文久三,タダ フクゾウ,タダ,フクゾウ
多田昌弘,タダ ヨシヒロ,タダ,ヨシヒロ
多田野数人,タダノ カズヒト,タダノ,カズヒト
立川隆史,タチカワ タカシ,タチカワ,タカシ
立野政治（立野正士）,タチノ マサハル,タチノ マサシ,タチノ,マサハル,マサシ
橘健治,タチバナ ケンジ,タチバナ,ケンジ
立花照人,タチバナ テルヒト,タチバナ,テルヒト
立花義家,タチバナ ヨシイエ,タチバナ,ヨシイエ
日月鉄二,タチモリ テツジ,タチモリ,テツジ
辰市邦輔（辰市祐英）,タツイチ クニスケ,タツイチ スケヒデ,タツイチ,クニスケ,スケヒデ
達川光男,タツカワ ミツオ,タツカワ,ミツオ
ブランドン・ダックワース,ダックワース,ブランドン
立田将太,タツタ ショウタ,タツタ,ナオヤ
ジーン・ダットサン,ダットサン,ジーン
立浪和義,タツナミ カズヨシ,タツナミ,カズヨシ
巽真悟,タツミ シンゴ,タツミ,シンゴ
巽大介,タツミ ダイスケ,タツミ,ダイスケ
巽一,タツミ ハジム,タツミ,ハジム
辰己涼介,タツミ リョウスケ,タツミ,リョウスケ
伊達昌司,ダテ マサシ,ダテ,マサシ
伊達泰司,ダテ ヤスシ,イダテ ヤスジ,ダテ,イダテ,ヤスシ
立石尚行,タテイシ ナオユキ,タテイシ,ナオユキ
立石充男,タテイシ ミツオ,タテイシ,ミツオ
ラモン・タティス,タティス,ラモン
立岡宗一郎,タテオカ ソウイチロウ,タテオカ,ソウイチロウ
立野清広,タテノ キヨヒロ,タテノ,キヨヒロ
館山昌平,タテヤマ ショウヘイ,タテヤマ,ショウヘイ
建山義紀,タテヤマ ヨシノリ,タテヤマ,ヨシノリ
田所重歳,タドコロ シゲトシ,タドコロ,シゲトシ
田所善治郎,タドコロ ゼンジロウ,タドコロ,ゼンジロウ
田名網英二,タナアミ エイジ,タナアミ,エイジ
田中昭夫,タナカ アキオ,タナカ,アキオ
田中彰(1954年生の内野手),タナカ アキラ,タナカ,アキラ
田中彰(1982年生の内野手),タナカ アキラ,タナカ,アキラ
田中章,タナカ アキラ,タナカ,アキラ
田中一朗,タナカ イチロウ,タナカ,イチロウ
田中一郎,タナカ イチロウ,タナカ,イチロウ
田中英祐,タナカ エイスケ,タナカ,エイスケ
田中和男,タナカ カズオ,タナカ,カズオ
田中一徳,タナカ カズノリ,タナカ,カズノリ
田中和博,タナカ カズヒロ,タナカ,カズヒロ
田中喜八郎,タナカ キハチロウ,タナカ,キハチロウ
田中金太郎,タナカ キンタロウ,タナカ,キンタロウ
田中久寿男,タナカ クスオ,タナカ,クスオ
田中健二朗,タナカ ケンジロウ,タナカ,ケンジロウ
田中賢介,タナカ ケンスケ,タナカ,ケンスケ
田中健太郎,タナカ ケンタロウ,タナカ,ケンタロウ
田中広輔,タナカ コウスケ,タナカ,コウスケ
田中聡,タナカ サトシ,タナカ,サトシ
秀太（田中秀太）,シュウタ,タナカ シュウタ,タナカ
田中淳二,タナカ ジュンジ,タナカ,ジュンジ
田中慎太朗,タナカ シンタロウ,タナカ,シンタロウ
田中末一,タナカ スエカズ,タナカ,スエカズ
田中総司,タナカ ソウジ,タナカ,ソウジ
田中大輝,タナカ ダイキ,タナカ,ダイキ
田中大二郎,タナカ ダイジロウ,タナカ,ダイジロウ
田中大輔,タナカ ダイスケ,タナカ,ダイスケ
田中太一,タナカ タイチ,タナカ,タイチ
田中充,タナカ タカシ,タナカ,タカシ
田中尊,タナカ タカシ,タナカ,タカシ
田中孝尚,タナカ タカヒサ,タナカ,タカヒサ
田中崇博,タナカ タカヒロ,タナカ,タカヒロ
田中貴也,タナカ タカヤ,タナカ,タカヤ
田中毅彦,タナカ タケヒコ,タナカ,タケヒコ
田中達夫,タナカ タツオ,タナカ,タツオ
田中辰次,タナカ タツジ,タナカ,タツジ
田中達彦,タナカ タツヒコ,タナカ,タツヒコ
田中力,タナカ チカラ,タナカ,チカラ
田中勉,タナカ ツトム,タナカ,ツトム
田中照雄,タナカ テルオ,タナカ,テルオ
田中資昭,タナカ トシアキ,タナカ,トシアキ
田中敏昭,タナカ トシアキ,タナカ,トシアキ
田中俊幸,タナカ トシユキ,タナカ,トシユキ
田中富生,タナカ トミオ,タナカ,トミオ
田中豊樹,タナカ トヨキ,タナカ,トヨキ
田中直樹,タナカ ナオキ,タナカ,ナオキ
田中成豪（田中幸男田中幸雄）,タナカ ナリヒデ,タナカ ユキオ,タナカ,ナリヒデ,ユキオ
田中宣顕（田中豊一）,タナカ ノリアキ,タナカ,ノリアキ
田中春雄,タナカ ハルオ,タナカ,ハルオ
田中宏和,タナカ ヒロカズ,タナカ,ヒロカズ
田中敬人,タナカ ヒロト,タナカ,ヒロト
田中浩康,タナカ ヒロヤス,タナカ,ヒロヤス
田中裕康,タナカ ヒロヤス,タナカ,ヒロヤス
田中文雄,タナカ フミオ,タナカ,フミオ
田中平八郎,タナカ ヘイハチロウ,タナカ,ヘイハチロウ
田中雅興,タナカ マサオキ,タナカ,マサオキ
田中雅治,タナカ マサハル,タナカ,マサハル
田中雅彦,タナカ マサヒコ,タナカ,マサヒコ
田中将大,タナカ マサヒロ,タナカ,マサヒロ
田中昌宏,タナカ マサヒロ,タナカ,マサヒロ
田中学,タナカ マナブ,タナカ,マナブ
田中守,タナカ マモル,タナカ,マモル
瑞季(田中瑞季),ミズキ,タナカ ミズキ,タナカ
田中調,タナカ ミツグ,タナカ,ミツグ
田中充,タナカ ミツル,タナカ,ミツル
田中実（投手）,タナカ ミノル,タナカ,ミノル
田中靖洋,タナカ ヤスヒロ,タナカ,ヤスヒロ
ユウキ（田中祐貴）,ユウキ,タナカ ユウキ,タナカ
田中幸雄（幸男）,タナカ ユキオ,タナカ,ユキオ
田中幸雄（投手),タナカ ユキオ,タナカ,ユキオ
田中幸雄（内野手),タナカ ユキオ,タナカ,ユキオ
田中義雄,タナカ ヨシオ,タナカ,ヨシオ
田中由郎,タナカ ヨシオ,タナカ,ヨシオ
田中由基,タナカ ヨシキ,タナカ,ヨシキ
田中良平,タナカ リョウヘイ,タナカ,リョウヘイ
田中正義,タナカ セイギ,タナカ,セイギ
田中和基,タナカ カズキ,タナカ,カズキ
田中俊太,タナカ シュンタ,タナカ,シュンタ
田中優大,タナカ ユウダイ,タナカ,ユウダイ
耀飛（田中耀飛）,アキト,タナカ アキト,タナカ
田中瑛斗,タナカ エイト,タナカ,エイト
田中法彦,タナカ ノリヒコ,タナカ,ノリヒコ
田中実(外野手 大内実),タナカ ミノル,オオウチ ミノル,タナカ,オオウチ,ミノル
田辺修,タナベ オサム,タナベ,オサム
田辺繁文,タナベ シゲフミ,タナベ,シゲフミ
#渡辺信義,タナベ ノブヨシ,タナベ,ノブヨシ
田辺徳雄（田辺路朗）,タナベ ノリオ,タナベ,ノリオ
田辺学,タナベ マナブ,タナベ,マナブ
田辺義三,タナベ ヨシゾウ,タナベ,ヨシゾウ
田面巧二郎,タナボ コウジロウ,タナボ,コウジロウ
谷真一,タニ シンイチ,タニ,シンイチ
谷哲男,タニ テツオ,タニ,テツオ
谷哲也,タニ テツヤ,タニ,テツヤ
谷宏明,タニ ヒロアキ,タニ,ヒロアキ
谷浩弥,タニ ヒロヤ,タニ,ヒロヤ
谷義夫,タニ ヨシオ,タニ,ヨシオ
谷佳知,タニ ヨシトモ,タニ,ヨシトモ
谷良治,タニ リョウジ,タニ,リョウジ
谷岡潔,タニオカ キヨシ,タニオカ,キヨシ
谷岡竜平,タニオカ タッペイ,タニオカ,タッペイ
谷川勉,タニガワ ツトム,タニガワ,ツトム
谷川昌希,タニガワ マサキ,タニガワ,マサキ
谷川原健太,タニガワラ ケンタ,タニガワラ,ケンタ
谷木恭平,タニキ キョウヘイ,タニキ,キョウヘイ
谷口悦司,タニグチ エツジ,タニグチ,エツジ
谷口勝範,タニグチ カツノリ,タニグチ,カツノリ
谷口紀念治,タニグチ キネジ,タニグチ,キネジ
谷口邦幸,タニグチ クニユキ,タニグチ,クニユキ
谷口功一,タニグチ コウイチ,タニグチ,コウイチ
谷口雄也,タニグチ ユウヤ,タニグチ,ユウヤ
谷車明,タニグルマ アキラ,タニグルマ,アキラ
谷崎浩二,タニザキ コウジ,タニザキ,コウジ
谷繁元信,タニシゲ モトノブ,タニシゲ,モトノブ
谷下和人,タニシタ カズヒト,タニシタ,カズヒト
谷田比呂美,タニダ ヒロミ,タニダ,ヒロミ
谷中真二,タニナカ シンジ,タニナカ,シンジ
谷野彰,タニノ アキラ,タニノ,アキラ
谷野信次郎,タニノ シンジロウ,タニノ,シンジロウ
谷松浩之,タニマツ ヒロユキ,タニマツ,ヒロユキ
谷村智啓（谷村智博）,タニムラ トモヒロ,タニムラ,トモヒロ
谷元圭介,タニモト ケイスケ,タニモト,ケイスケ
谷本稔,タニモト ミノル,タニモト,ミノル
谷山高明,タニヤマ タカアキ,タニヤマ,タカアキ
種市篤暉,タネイチ アツキ,タネイチ,アツキ
種田訓久,タネダ クニヒサ,タネダ,クニヒサ
種田仁,タネダ ヒトシ,タネダ,ヒトシ
#種田弘,タネダ ヒロシ,タネダ,ヒロシ
種田弘,タネダ ヒロム,タネダ,ヒロム
種部儀康,タネベ ノリヤス,タネベ,ノリヤス
種茂雅之,タネモ マサユキ,タネモ,マサユキ
リー・タネル,タネル,リー
田之上慶三郎,タノウエ ケイサブロウ,タノウエ,ケイサブロウ
田上秀則,タノウエ ヒデノリ,タノウエ,ヒデノリ
田野倉利男,タノクラ トシオ,タノクラ,トシオ
田野倉正樹,タノクラ マサキ,タノクラ,マサキ
ジョアン・タバ―レス,ジョアン・タバーレス,タバーレス,ジョアン
田畑一也,タバタ カズヤ,タバタ,カズヤ
田端謙二郎,タバタ ケンジロウ,タバタ,ケンジロウ
田端美夫,タバタ ヨシオ,タバタ,ヨシオ
田原啓吾,タハラ ケイゴ,タハラ,ケイゴ
田原晃司,タハラ コウジ,タハラ,コウジ
田原誠次,タハラ セイジ,タハラ,セイジ
田原藤太郎,タハラ トウタロウ,タハラ,トウタロウ
田原基稔,タハラ モトトシ,タハラ,モトトシ
田原康行,タハラ ヤスユキ,タハラ,ヤスユキ
マット・ダフィー,ダフィー,マット
田吹昭博,タブキ アキヒロ,タブキ,アキヒロ
田淵幸一,タブチ コウイチ,タブチ,コウイチ
田部武雄,タベ タケオ,タベ,タケオ
田部輝男,タベ テルオ,タベ,テルオ
玉井栄,タマイ サカエ,タマイ,サカエ
玉井信博,タマイ ノブヒロ,タマイ,ノブヒロ
玉井英紀,タマイ ヒデキ,タマイ,ヒデキ
玉井大翔,タマイ タイショウ,タマイ,タイショウ
玉川郁,タマガワ カオル,タマガワ,カオル
玉木重雄,タマキ シゲオ,タマキ,シゲオ
玉置玉一,タマキ タマイチ,タマキ,タマイチ
玉木朋孝,タマキ トモタカ,タマキ,トモタカ
玉木春雄,タマキ ハルオ,タマキ,ハルオ
玉置隆,タマキ ユタカ,タマキ,ユタカ
玉腰忠義,タマコシ タダヨシ,タマコシ,タダヨシ
玉腰年男,タマコシ トシオ,タマコシ,トシオ
玉造陽二,タマツクリ ヨウジ,タマツクリ,ヨウジ
玉野宏昌,タマノ ヒロマサ,タマノ,ヒロマサ
玉峰伸典,タマミネ ノブノリ,タマミネ,ノブノリ
玉村祐典,タマムラ ユウスケ,タマムラ,ユウスケ
玉山健太,タマヤマ ケンタ,タマヤマ,ケンタ
田宮謙次郎,タミヤ ケンジロウ,タミヤ,ケンジロウ
田宮裕涼,タミヤ ユア,タミヤ,ユア
田村彰啓,タムラ アキヒロ,タムラ,アキヒロ
田村勲,タムラ イサオ,タムラ,イサオ
田村恵,タムラ ケイ,タムラ,ケイ
田村丈,タムラ ジョウ,タムラ,ジョウ
田村龍弘,タムラ タツヒロ,タムラ,タツヒロ
田村勤,タムラ ツトム,タムラ,ツトム
田村友美,タムラ トモヨシ,タムラ,トモヨシ
多村仁志（多村仁）,タムラ ヒトシ,タムラ,ヒトシ
田村藤夫,タムラ フジオ,タムラ,フジオ
田村政雄,タムラ マサオ,タムラ,マサオ
田村幹雄,タムラ ミキオ,タムラ,ミキオ
田村満,タムラ ミツル,タムラ,ミツル
田村稔,タムラ ミノル,タムラ,ミノル
田村純樹,タムラ ヨシキ,タムラ,ヨシキ
田村領平,タムラ リョウヘイ,タムラ,リョウヘイ
田村伊知郎,タムラ イチロウ,タムラ,イチロウ
溜池敏隆,タメイケ トシタカ,タメイケ,トシタカ
トニー・タラスコ,タラスコ,トニー
樽井清一（樽井克友）,タルイ セイイチ,タルイ カツトモ,タルイ,セイイチ,カツトモ
樽井信章,タルイ ノブアキ,タルイ,ノブアキ
ダルビッシュ有,ダルビッシュユウ,ダルビッシュ,ユウ
樽見金典,タルミ カネノリ,タルミ,カネノリ
多和田真三郎,タワタ シンサブロウ,タワタ,シンサブロウ
テーラー・ダンカン,ダンカン,テーラー
マリアーノ・ダンカン,ダンカン,マリアーノ
丹野祐樹,タンノ ユウキ,タンノ,ユウキ
団野富士夫,ダンノ フジオ,ダンノ,フジオ
丹波健二,タンバ ケンジ,タンバ,ケンジ
丹波幹雄,タンバ ミキオ,タンバ,ミキオ
スコット・チアソン,チアソン,スコット
ロビンソン・チェコ,チェコ,ロビンソン
陳義信（義信）,チェン イーシン,ヨシノブ,チェン,イーシン
陳瑋,チェン ウェイ,チェン,ウェイ
チェン・ウェイン,チェン,ウェイン
